kommune;segment;år;I alt;Ingen pendling;Indtil 5 km;5-10 km;10-20 km;20-30 km;30-40 km;40-50 km;Over 50 km
Horsens;I alt;2022;48657;2434;16852;7801;6961;4581;2855;3154;4019
Horsens;Mænd;2022;25592;1667;7792;4155;3438;2320;1570;1782;2868
Horsens;Kvinder;2022;23065;767;9060;3646;3523;2261;1285;1372;1151
Norddjurs;I alt;2022;15753;1429;5549;1726;2710;1445;926;506;1462
Norddjurs;Mænd;2022;8261;1047;2783;826;1331;696;428;253;897
Norddjurs;Kvinder;2022;7492;382;2766;900;1379;749;498;253;565
Odder;I alt;2022;8259;907;2907;1251;1284;1075;282;131;422
Odder;Mænd;2022;4129;596;1289;563;628;550;149;86;268
Odder;Kvinder;2022;4130;311;1618;688;656;525;133;45;154
Randers;I alt;2022;43518;2562;15925;7185;5994;3407;3761;1697;2987
Randers;Mænd;2022;21568;1811;6924;3472;2841;1667;1955;957;1941
Randers;Kvinder;2022;21950;751;9001;3713;3153;1740;1806;740;1046
Samsø;I alt;2022;1734;277;808;266;124;14;18;15;212
Samsø;Mænd;2022;934;176;386;145;72;10;10;9;126
Samsø;Kvinder;2022;800;101;422;121;52;4;8;6;86
Silkeborg;I alt;2022;44304;3268;13825;6743;6760;3691;2984;3528;3505
Silkeborg;Mænd;2022;23202;2228;6404;3189;3298;1885;1727;2076;2395
Silkeborg;Kvinder;2022;21102;1040;7421;3554;3462;1806;1257;1452;1110
Skanderborg;I alt;2022;29865;2219;6581;3256;6641;5366;2293;950;2559
Skanderborg;Mænd;2022;16242;1491;3044;1607;3414;2929;1303;628;1826
Skanderborg;Kvinder;2022;13623;728;3537;1649;3227;2437;990;322;733
Syddjurs;I alt;2022;15162;2087;3550;1595;2891;2106;1494;537;902
Syddjurs;Mænd;2022;7595;1434;1664;706;1267;994;683;278;569
Syddjurs;Kvinder;2022;7567;653;1886;889;1624;1112;811;259;333
Aarhus;I alt;2022;225052;8119;76092;42699;33498;17110;12574;11330;23630
Aarhus;Mænd;2022;118072;5373;35909;20664;16860;9084;7337;6782;16063
Aarhus;Kvinder;2022;106980;2746;40183;22035;16638;8026;5237;4548;7567
Herning;I alt;2022;52558;2852;16009;7034;7440;4622;5034;3089;6478
Herning;Mænd;2022;27587;2031;7696;3722;3954;2384;2229;1562;4009
Herning;Kvinder;2022;24971;821;8313;3312;3486;2238;2805;1527;2469
Holstebro;I alt;2022;29715;1818;11183;3704;4599;2625;2241;971;2574
Holstebro;Mænd;2022;16035;1262;5512;1982;2424;1398;1166;549;1742
Holstebro;Kvinder;2022;13680;556;5671;1722;2175;1227;1075;422;832
Ikast-Brande;I alt;2022;24509;1452;5470;1715;4453;3857;1862;1709;3991
Ikast-Brande;Mænd;2022;13373;1025;2853;909;2110;1863;987;1035;2591
Ikast-Brande;Kvinder;2022;11136;427;2617;806;2343;1994;875;674;1400
Lemvig;I alt;2022;9155;791;3059;1224;1591;1132;535;176;647
Lemvig;Mænd;2022;4990;583;1584;678;779;579;272;95;420
Lemvig;Kvinder;2022;4165;208;1475;546;812;553;263;81;227
Ringkøbing-Skjern;I alt;2022;31290;2278;9259;2937;5467;4310;1894;2095;3050
Ringkøbing-Skjern;Mænd;2022;17402;1642;4821;1581;2799;2192;1034;1235;2098
Ringkøbing-Skjern;Kvinder;2022;13888;636;4438;1356;2668;2118;860;860;952
Skive;I alt;2022;22148;1576;6683;3353;4258;2048;1422;619;2189
Skive;Mænd;2022;12575;1152;3359;1819;2157;1156;855;408;1669
Skive;Kvinder;2022;9573;424;3324;1534;2101;892;567;211;520
Struer;I alt;2022;8396;700;3144;879;1573;770;479;219;632
Struer;Mænd;2022;4417;512;1522;435;776;365;241;115;451
Struer;Kvinder;2022;3979;188;1622;444;797;405;238;104;181
Viborg;I alt;2022;52055;3481;15639;5911;7810;6499;3685;2703;6327
Viborg;Mænd;2022;27387;2488;7401;2948;3816;3254;1858;1549;4073
Viborg;Kvinder;2022;24668;993;8238;2963;3994;3245;1827;1154;2254
Brønderslev;I alt;2022;13697;1277;3685;1520;2344;2693;1359;381;438
Brønderslev;Mænd;2022;6935;945;1739;722;1099;1298;656;188;288
Brønderslev;Kvinder;2022;6762;332;1946;798;1245;1395;703;193;150
Frederikshavn;I alt;2022;27447;1578;11396;2639;3830;1876;1685;1252;3191
Frederikshavn;Mænd;2022;15118;1151;5667;1355;1965;984;982;750;2264
Frederikshavn;Kvinder;2022;12329;427;5729;1284;1865;892;703;502;927
Hjørring;I alt;2022;31279;2377;10429;2946;6730;2693;2013;1707;2384
Hjørring;Mænd;2022;15688;1743;4857;1546;3166;1234;983;847;1312
Hjørring;Kvinder;2022;15591;634;5572;1400;3564;1459;1030;860;1072
Jammerbugt;I alt;2022;14551;1647;3720;1927;2685;1737;1285;563;987
Jammerbugt;Mænd;2022;7457;1199;1824;903;1168;813;607;297;646
Jammerbugt;Kvinder;2022;7094;448;1896;1024;1517;924;678;266;341
Læsø;I alt;2022;783;153;314;119;95;1;14;18;69
Læsø;Mænd;2022;416;99;156;51;40;1;9;13;47
Læsø;Kvinder;2022;367;54;158;68;55;0;5;5;22
Mariagerfjord;I alt;2022;21742;1704;5518;2240;3923;2918;1720;1481;2238
Mariagerfjord;Mænd;2022;11979;1237;2859;1166;1871;1507;957;842;1540
Mariagerfjord;Kvinder;2022;9763;467;2659;1074;2052;1411;763;639;698
Morsø;I alt;2022;9779;838;3103;1484;1978;927;729;142;578
Morsø;Mænd;2022;5391;641;1486;854;1000;532;388;85;405
Morsø;Kvinder;2022;4388;197;1617;630;978;395;341;57;173
Rebild;I alt;2022;12637;1265;2520;1357;2632;2536;820;517;990
Rebild;Mænd;2022;7040;901;1259;652;1356;1321;496;323;732
Rebild;Kvinder;2022;5597;364;1261;705;1276;1215;324;194;258
Thisted;I alt;2022;22203;1899;7223;3104;3777;2549;1462;492;1697
Thisted;Mænd;2022;11964;1408;3692;1617;1883;1252;785;279;1048
Thisted;Kvinder;2022;10239;491;3531;1487;1894;1297;677;213;649
Vesthimmerlands;I alt;2022;18109;1487;4437;2408;3449;2231;1007;1499;1591
Vesthimmerlands;Mænd;2022;10021;1111;2342;1236;1697;1118;555;887;1075
Vesthimmerlands;Kvinder;2022;8088;376;2095;1172;1752;1113;452;612;516
Aalborg;I alt;2022;121279;4851;42379;21612;18417;12736;6412;3904;10968
Aalborg;Mænd;2022;64191;3387;20014;11556;9295;6777;3608;2238;7316
Aalborg;Kvinder;2022;57088;1464;22365;10056;9122;5959;2804;1666;3652
